rank,college,conf,year,coach,school,other,total,max,prior year bonus
1,Kentucky,SEC,2019,John Calipari,7950000,1326643,9276643,50000,50000
1,Kentucky,SEC,2018,John Calipari,7450000,544147,7994147,50000,50000
1,Kentucky,SEC,2017,John Calipari,7140000,295376,7435376,50000,0
1,Kentucky,SEC,2016,John Calipari,6580000,295376,6875376,50000,0
1,Kentucky,SEC,2015,John Calipari,6009000,347756,6356756,50000,0
1,Kentucky,SEC,2014,John Calipari,5200000,311381,5511381,850000,0
1,Kentucky,SEC,2012,John Calipari,4987578,400400,5387978,850000,0
1,Kentucky,SEC,2011,John Calipari,3800000,117000,3917000,850000,0
3,Michigan State,Big Ten,2019,Tom Izzo,3732562,425000,4157562,350000,75000
3,Michigan State,Big Ten,2018,Tom Izzo,3652979,707000,4359979,350000,25000
3,Michigan State,Big Ten,2017,Tom Izzo,3582751,669000,4251751,350000,0
3,Michigan State,Big Ten,2016,Tom Izzo,3525359,625000,4150359,350000,0
3,Michigan State,Big Ten,2015,Tom Izzo,3471955,535000,4006955,350000,0
3,Michigan State,Big Ten,2014,Tom Izzo,3413954,480000,3893954,350000,0
3,Michigan State,Big Ten,2013,Tom Izzo,3220769,525000,3745769,350000,0
3,Michigan State,Big Ten,2012,Tom Izzo,3120900,477800,3598700,425000,0
3,Michigan State,Big Ten,2011,Tom Izzo,3090000,475000,3565000,350000,0
4,Virginia,ACC,2019,Tony Bennett,4150000,0,4150000,1450000,450000
4,Virginia,ACC,2018,Tony Bennett,3000000,0,3000000,1450000,50000
4,Virginia,ACC,2017,Tony Bennett,2205000,1500,2206500,1450000,0
4,Virginia,ACC,2016,Tony Bennett,2100000,1500,2101500,1450000,0
4,Virginia,ACC,2015,Tony Bennett,1924450,1500,1925950,1450000,0
4,Virginia,ACC,2014,Tony Bennett,2289600,1500,2291100,1400000,0
4,Virginia,ACC,2012,Tony Bennett,1780000,2200,1782200,1400000,0
7,North Carolina,ACC,2019,Roy Williams,2281778,1647000,3928778,1020148,200000
7,North Carolina,ACC,2018,Roy Williams,2182986,0,2182986,1000000,1000000
7,North Carolina,ACC,2017,Roy Williams,2088577,0,2088577,1000000,0
7,North Carolina,ACC,2016,Roy Williams,1998169,0,1998169,1000000,0
7,North Carolina,ACC,2015,Roy Williams,1911402,0,1911402,123800,0
7,North Carolina,ACC,2014,Roy Williams,1827945,0,1827945,112648,0
7,North Carolina,ACC,2013,Roy Williams,1773938,0,1773938,111312,0
7,North Carolina,ACC,2012,Roy Williams,1713938,0,1713938,111312,0
7,North Carolina,ACC,2011,Roy Williams,1655000,0,1655000,108332,0
6,Louisville,ACC,2019,Chris Mack,4007494,0,4007494,375000,0
6,Louisville,ACC,2018,David Padgett,800000,0,800000,300000,0
6,Louisville,ACC,2017,Rick Pitino,5057000,2712200,7769200,750000,0
6,Louisville,ACC,2015,Rick Pitino,4078327,1926202,6004529,775000,0
6,Louisville,ACC,2014,Rick Pitino,4678327,1080011,5758338,775000,0
6,Louisville,ACC,2013,Rick Pitino,4078327,895016,4973343,725000,0
6,Louisville,ACC,2012,Rick Pitino,3900000,912769,4812769,575000,0
6,Louisville,ACC,2011,Rick Pitino,7500000,1431378,8931378,575000,0
9,West Virginia,Big 12,2019,Bob Huggins,3850000,15000,3865000,640000,200000
9,West Virginia,Big 12,2018,Bob Huggins,3750000,10000,3760000,640000,175000
9,West Virginia,Big 12,2017,Bob Huggins,3575000,15000,3590000,690000,0
9,West Virginia,Big 12,2016,Bob Huggins,3325000,15000,3340000,690000,0
9,West Virginia,Big 12,2015,Bob Huggins,3250000,15000,3265000,690000,0
9,West Virginia,Big 12,2012,Bob Huggins,2000000,15000,2015000,270000,0
9,West Virginia,Big 12,2011,Bob Huggins,1800000,10000,1810000,255000,0
10,Michigan,Big Ten,2019,John Beilein,3800000,0,3800000,250000,175000
10,Michigan,Big Ten,2018,John Beilein,3370000,0,3370000,250000,100000
10,Michigan,Big Ten,2017,John Beilein,3370000,0,3370000,250000,0
10,Michigan,Big Ten,2016,John Beilein,2760833,80305,2841138,275000,0
10,Michigan,Big Ten,2014,John Beilein,2450000,48242,2498242,275000,0
10,Michigan,Big Ten,2013,John Beilein,1800000,65975,1865975,200000,0
10,Michigan,Big Ten,2012,John Beilein,2206000,19930,2225930,200000,0
10,Michigan,Big Ten,2011,John Beilein,1700000,63820,1763820,200000,0
12,Wichita State,AAC,2019,Gregg Marshall,3500000,70000,3570000,838000,151000
12,Wichita State,AAC,2018,Gregg Marshall,3000000,44000,3044000,813000,248000
12,Wichita State,AAC,2017,Gregg Marshall,3000000,35500,3035500,838000,0
12,Wichita State,AAC,2016,Gregg Marshall,3000000,130000,3130000,838000,0
12,Wichita State,AAC,2015,Gregg Marshall,1850000,130000,1980000,838000,0
