year,team,rank,rating,w:l:sched:10:30,golden mean,predictor,elo score
2006,Florida,1, 96.18,  13   1   77.19(   8)    2   0  , 103.02    1 ,  91.93    4,NA
2006,Southern California,2, 95.57,  11   2   79.39(   2)    2   0  ,  95.20    5 ,  95.29    1,NA
2006,LSU,3, 94.29,  11   2   74.79(  20)    0   1  ,  96.82    3 ,  91.80    5,NA
2006,Ohio State,4, 93.88,  12   1   73.07(  38)    1   1  ,  94.60    7 ,  92.64    2,NA
2006,Louisville,5, 93.81,  12   1   74.12(  27)    1   0  ,  94.91    6 ,  92.26    3,NA
2006,Boise State,6, 91.13,  13   0   65.92(  90)    0   0  ,  97.52    2 ,  86.77   12,NA
2006,Michigan,7, 90.74,  11   2   76.31(  12)    1   2  ,  92.45    9 ,  88.73    8,NA
2006,California,8, 89.90,  10   3   76.92(   9)    0   1  ,  88.32   12 ,  90.98    6,NA
2006,Wisconsin,9, 88.73,  12   1   67.39(  82)    0   1  ,  95.43    4 ,  84.14   17,NA
2006,West Virginia,10, 88.64,  11   2   73.08(  37)    0   1  ,  89.42   10 ,  87.33   11,NA
2006,Auburn,11, 88.42,  11   2   74.50(  23)    2   0  ,  93.58    8 ,  84.43   16,NA
2006,Rutgers,12, 88.17,  11   2   70.87(  58)    1   1  ,  88.24   13 ,  87.47   10,NA
2006,BYU,13, 87.44,  11   2   68.36(  74)    0   0  ,  84.63   20 ,  90.23    7,NA
2006,Arkansas,14, 85.64,  10   4   74.27(  26)    0   4  ,  88.83   11 ,  82.59   20,NA
2006,Tennessee,15, 85.41,   9   4   78.41(   4)    1   2  ,  86.77   16 ,  83.63   18,NA
2006,Oklahoma,16, 84.83,  11   3   73.47(  32)    0   1  ,  83.28   23 ,  85.84   14,NA
2006,Georgia,17, 84.40,   9   4   74.40(  24)    0   1  ,  86.54   17 ,  82.02   22,NA
2006,Penn State,18, 84.38,   9   4   73.09(  36)    0   3  ,  87.61   14 ,  81.29   24,NA
2006,Texas,19, 84.02,  10   3   70.51(  61)    0   1  ,  81.82   25 ,  85.85   13,NA
2006,Oregon State,20, 83.32,  10   4   75.75(  15)    1   2  ,  86.15   18 ,  80.45   28,NA
2006,Notre Dame,21, 83.00,  10   3   75.30(  18)    0   3  ,  87.26   15 ,  79.26   34,NA
2006,Virginia Tech,22, 82.83,  10   3   70.95(  57)    0   0  ,  81.73   26 ,  83.32   19,NA
2006,Hawaii,23, 82.51,  11   3   64.60(  98)    0   1  ,  79.52   31 ,  85.45   15,NA
