PG,SG,SF,PF,C,G,F,UTIL
Dennis Schroder (11999229),Devin Booker (11999128),Sam Dekker (11999334),Julius Randle (11999124),Jahlil Okafor (11999227),Andrew Wiggins (11999191),DeMarcus Cousins (11999182),Karl-Anthony Towns (11999098)
Dennis Schroder (11999229),E'Twaun Moore (11999291),Andrew Wiggins (11999191),DeMarcus Cousins (11999182),Julius Randle (11999124),Damian Lillard (11999115),Brandon Ingram (11999155),Devin Booker (11999128)
Dennis Schroder (11999229),Devin Booker (11999128),Josh Jackson (11999213),Meyers Leonard (11999343),Jahlil Okafor (11999227),Russell Westbrook (11999091),Julius Randle (11999124),Andrew Wiggins (11999191)
Devin Booker (11999128),Dennis Schroder (11999229),Paul George (11999100),DeMarcus Cousins (11999182),Julius Randle (11999124),Andrew Wiggins (11999191),Mikal Bridges (11999314),Jahlil Okafor (11999227)
Dennis Schroder (11999229),Devin Booker (11999128),Brandon Ingram (11999155),Julius Randle (11999124),Jahlil Okafor (11999227),Damian Lillard (11999115),Andrew Wiggins (11999191),Josh Hart (11999235)
Dennis Schroder (11999229),Devin Booker (11999128),Josh Hart (11999235),DeMarcus Cousins (11999182),Jahlil Okafor (11999227),Andrew Wiggins (11999191),Julius Randle (11999124),Kevin Durant (11999108)
Dennis Schroder (11999229),Josh Hart (11999235),Andrew Wiggins (11999191),DeMarcus Cousins (11999182),Karl-Anthony Towns (11999098),Brandon Ingram (11999155),Julius Randle (11999124),Jahlil Okafor (11999227)
Dennis Schroder (11999229),Devin Booker (11999128),Kyle Kuzma (11999132),DeMarcus Cousins (11999182),Steven Adams (11999140),Andrew Wiggins (11999191),Julius Randle (11999124),Jahlil Okafor (11999227)
Devin Booker (11999128),Dennis Schroder (11999229),Andrew Wiggins (11999191),DeMarcus Cousins (11999182),Meyers Leonard (11999343),Kentavious Caldwell-Pope (11999259),Julius Randle (11999124),Russell Westbrook (11999091)
Russell Westbrook (11999091),Dennis Schroder (11999229),Brandon Ingram (11999155),DeMarcus Cousins (11999182),Jahlil Okafor (11999227),Mikal Bridges (11999314),Julius Randle (11999124),Andrew Wiggins (11999191)
Devin Booker (11999128),Brandon Ingram (11999155),Andrew Wiggins (11999191),Julius Randle (11999124),Meyers Leonard (11999343),Dennis Schroder (11999229),Paul George (11999100),Jahlil Okafor (11999227)
