PG,SG,SF,PF,C,G,F,UTIL,,Instructions
,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,,,C,Nikola Jokic (12010935),Nikola Jokic,12010935,C/UTIL,10800,DEN@MEM 01/28/2019 08:00PM ET,DEN,49.26
,,,,,,,,,PG,Kyrie Irving (12010937),Kyrie Irving,12010937,PG/G/UTIL,9600,BKN@BOS 01/28/2019 07:30PM ET,BOS,44.79
,,,,,,,,,SF/PF,Kevin Durant (12010940),Kevin Durant,12010940,SF/PF/F/UTIL,9400,GS@IND 01/28/2019 07:00PM ET,GS,49.76
,,,,,,,,,PG/SG,Stephen Curry (12010944),Stephen Curry,12010944,PG/SG/G/UTIL,9100,GS@IND 01/28/2019 07:00PM ET,GS,48.21
,,,,,,,,,PG,Kemba Walker (12010948),Kemba Walker,12010948,PG/G/UTIL,8900,NY@CHA 01/28/2019 07:00PM ET,CHA,42.38
,,,,,,,,,PG/SG,D'Angelo Russell (12010951),D'Angelo Russell,12010951,PG/SG/G/UTIL,8600,BKN@BOS 01/28/2019 07:30PM ET,BKN,36.42
,,,,,,,,,PF/C,John Collins (12010955),John Collins,12010955,PF/C/F/UTIL,8200,ATL@LAC 01/28/2019 10:30PM ET,ATL,37.06
,,,,,,,,,SF/PF,Tobias Harris (12010959),Tobias Harris,12010959,SF/PF/F/UTIL,8000,ATL@LAC 01/28/2019 10:30PM ET,LAC,37.56
,,,,,,,,,C,Marc Gasol (12010963),Marc Gasol,12010963,C/UTIL,7800,DEN@MEM 01/28/2019 08:00PM ET,MEM,38.43
,,,,,,,,,PG,Mike Conley (12010965),Mike Conley,12010965,PG/G/UTIL,7700,DEN@MEM 01/28/2019 08:00PM ET,MEM,37.10
,,,,,,,,,PG/SG,Lou Williams (12010968),Lou Williams,12010968,PG/SG/G/UTIL,7400,ATL@LAC 01/28/2019 10:30PM ET,LAC,31.35
,,,,,,,,,PF/C,Montrezl Harrell (12010972),Montrezl Harrell,12010972,PF/C/F/UTIL,7100,ATL@LAC 01/28/2019 10:30PM ET,LAC,30.83
,,,,,,,,,SG/SF,Will Barton (12010976),Will Barton,12010976,SG/SF/F/G/UTIL,6900,DEN@MEM 01/28/2019 08:00PM ET,DEN,24.83
,,,,,,,,,C,Myles Turner (12010985),Myles Turner,12010985,C/UTIL,6800,GS@IND 01/28/2019 07:00PM ET,IND,31.19
,,,,,,,,,PG/SG,Jamal Murray (12010981),Jamal Murray,12010981,PG/SG/G/UTIL,6800,DEN@MEM 01/28/2019 08:00PM ET,DEN,33.40
,,,,,,,,,PG,Trae Young (12010987),Trae Young,12010987,PG/G/UTIL,6700,ATL@LAC 01/28/2019 10:30PM ET,ATL,32.52
,,,,,,,,,PF/C,Domantas Sabonis (12010990),Domantas Sabonis,12010990,PF/C/F/UTIL,6600,GS@IND 01/28/2019 07:00PM ET,IND,32.83
,,,,,,,,,PF/C,DeMarcus Cousins (12010994),DeMarcus Cousins,12010994,PF/C/F/UTIL,6500,GS@IND 01/28/2019 07:00PM ET,GS,31.06
,,,,,,,,,SF/PF,Danilo Gallinari (12011002),Danilo Gallinari,12011002,SF/PF/F/UTIL,6400,ATL@LAC 01/28/2019 10:30PM ET,LAC,32.81
,,,,,,,,,PF/C,Al Horford (12010998),Al Horford,12010998,PF/C/F/UTIL,6400,BKN@BOS 01/28/2019 07:30PM ET,BOS,30.25
,,,,,,,,,PF/C,Draymond Green (12011006),Draymond Green,12011006,PF/C/F/UTIL,6300,GS@IND 01/28/2019 07:00PM ET,GS,32.31
,,,,,,,,,PF/C,Noah Vonleh (12011014),Noah Vonleh,12011014,PF/C/F/UTIL,6200,NY@CHA 01/28/2019 07:00PM ET,NY,26.26
,,,,,,,,,PG/SG,Spencer Dinwiddie (12011010),Spencer Dinwiddie,12011010,PG/SG/G/UTIL,6200,BKN@BOS 01/28/2019 07:30PM ET,BKN,29.31
,,,,,,,,,SG,Klay Thompson (12011018),Klay Thompson,12011018,SG/G/UTIL,6100,GS@IND 01/28/2019 07:00PM ET,GS,34.26
,,,,,,,,,PG,Darren Collison (12011021),Darren Collison,12011021,PG/G/UTIL,5900,GS@IND 01/28/2019 07:00PM ET,IND,25.33
,,,,,,,,,SG/SF,Tim Hardaway Jr. (12011027),Tim Hardaway Jr.,12011027,SG/SF/F/G/UTIL,5800,NY@CHA 01/28/2019 07:00PM ET,NY,30.15
,,,,,,,,,SG,Gary Harris (12011024),Gary Harris,12011024,SG/G/UTIL,5800,DEN@MEM 01/28/2019 08:00PM ET,DEN,25.84
,,,,,,,,,SF/PF,Thaddeus Young (12011032),Thaddeus Young,12011032,SF/PF/F/UTIL,5700,GS@IND 01/28/2019 07:00PM ET,IND,26.94
,,,,,,,,,PF/C,Jaren Jackson Jr. (12011036),Jaren Jackson Jr.,12011036,PF/C/F/UTIL,5700,DEN@MEM 01/28/2019 08:00PM ET,MEM,25.47
,,,,,,,,,SG/SF,Jeremy Lamb (12011040),Jeremy Lamb,12011040,SG/SF/F/G/UTIL,5600,NY@CHA 01/28/2019 07:00PM ET,CHA,27.83
,,,,,,,,,SG/SF,Bojan Bogdanovic (12011049),Bojan Bogdanovic,12011049,SG/SF/F/G/UTIL,5600,GS@IND 01/28/2019 07:00PM ET,IND,25.65
,,,,,,,,,SF/PF,Jayson Tatum (12011045),Jayson Tatum,12011045,SF/PF/F/UTIL,5600,BKN@BOS 01/28/2019 07:30PM ET,BOS,30.70
,,,,,,,,,PF/C,Dewayne Dedmon (12011060),Dewayne Dedmon,12011060,PF/C/F/UTIL,5500,ATL@LAC 01/28/2019 10:30PM ET,ATL,25.77
,,,,,,,,,PG/SG,Caris LeVert (12011054),Caris LeVert,12011054,PG/SG/G/UTIL,5500,BKN@BOS 01/28/2019 07:30PM ET,BKN,32.04
,,,,,,,,,C,Jarrett Allen (12011058),Jarrett Allen,12011058,C/UTIL,5500,BKN@BOS 01/28/2019 07:30PM ET,BKN,28.55
,,,,,,,,,SF/PF,Kevin Knox (12011067),Kevin Knox,12011067,SF/PF/F/UTIL,5400,NY@CHA 01/28/2019 07:00PM ET,NY,20.51
,,,,,,,,,SF,Taurean Prince (12011064),Taurean Prince,12011064,SF/F/UTIL,5400,ATL@LAC 01/28/2019 10:30PM ET,ATL,24.98
,,,,,,,,,PG/SG,Allonzo Trier (12011080),Allonzo Trier,12011080,PG/SG/G/UTIL,5300,NY@CHA 01/28/2019 07:00PM ET,NY,18.26
,,,,,,,,,SF/PF,Marvin Williams (12011084),Marvin Williams,12011084,SF/PF/F/UTIL,5300,NY@CHA 01/28/2019 07:00PM ET,CHA,23.14
,,,,,,,,,SG/SF,Kent Bazemore (12011071),Kent Bazemore,12011071,SG/SF/F/G/UTIL,5300,ATL@LAC 01/28/2019 10:30PM ET,ATL,27.89
